Fecha,Hora (UTC),HR
28-07-2023,16:00,41.0
28-07-2023,17:00,33.0
28-07-2023,18:00,31.0
28-07-2023,19:00,33.0
28-07-2023,20:00,29.0
28-07-2023,21:00,29.0
28-07-2023,22:00,51.0
28-07-2023,23:00,51.0
29-07-2023,0:00,70.0
29-07-2023,1:00,59.3
29-07-2023,2:00,66.6
29-07-2023,3:00,60.0
29-07-2023,4:00,67.7
29-07-2023,5:00,73.0
29-07-2023,6:00,75.0
29-07-2023,7:00,82.8
29-07-2023,8:00,90.2
29-07-2023,9:00,95.0
29-07-2023,10:00,95.0
29-07-2023,11:00,96.0
29-07-2023,12:00,98.0
29-07-2023,13:00,98.0
29-07-2023,14:00,65.0
29-07-2023,15:00,45.0
29-07-2023,16:00,40.0
29-07-2023,17:00,33.0
29-07-2023,18:00,27.0
29-07-2023,19:00,27.0
29-07-2023,20:00,33.0
29-07-2023,21:00,37.0
29-07-2023,22:00,48.0
29-07-2023,23:00,65.0
30-07-2023,0:00,74.0
30-07-2023,1:00,71.9
30-07-2023,2:00,73.0
30-07-2023,3:00,77.0
30-07-2023,4:00,78.1
30-07-2023,5:00,82.1
30-07-2023,6:00,83.0
30-07-2023,7:00,81.9
30-07-2023,8:00,85.0
30-07-2023,9:00,88.0
30-07-2023,10:00,86.0
30-07-2023,11:00,86.0
30-07-2023,12:00,84.0
30-07-2023,13:00,80.0
30-07-2023,14:00,62.0
30-07-2023,15:00,57.0
30-07-2023,16:00,53.0
30-07-2023,17:00,43.0
30-07-2023,18:00,40.0
30-07-2023,19:00,37.0
30-07-2023,20:00,32.0
30-07-2023,21:00,45.0
30-07-2023,22:00,58.0
30-07-2023,23:00,66.0
31-07-2023,0:00,75.0
31-07-2023,1:00,79.8
31-07-2023,2:00,81.9
31-07-2023,3:00,88.0
31-07-2023,4:00,89.2
31-07-2023,5:00,90.5
31-07-2023,6:00,95.0
31-07-2023,7:00,95.8
31-07-2023,8:00,98.0
31-07-2023,9:00,99.0
31-07-2023,10:00,100.0
31-07-2023,11:00,100.0
31-07-2023,12:00,100.0
31-07-2023,13:00,97.0
31-07-2023,14:00,70.0
31-07-2023,15:00,63.0
31-07-2023,16:00,63.0
31-07-2023,17:00,63.0
31-07-2023,18:00,39.0
31-07-2023,19:00,39.0
31-07-2023,20:00,36.0
31-07-2023,21:00,40.0
31-07-2023,22:00,52.0
31-07-2023,23:00,67.0
